date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:56:12	782528/782528	---M--	200	added ('OK')	image/png	etag:%22653fd53d-bf0c0%22	https://mattgroh.com/images/deepfake-detection.png	C:/My%20Web%20Sites/myWebsite/mattgroh.com/images/deepfake-detection.png	(from https://mattgroh.com/)
20:56:12	1134747/1134747	---M--	200	added ('OK')	application/pdf	etag:%22653fd53e-11509b%22	https://mattgroh.com/pdfs/detect-fakes-comparing-human-machine.pdf	C:/My%20Web%20Sites/myWebsite/mattgroh.com/pdfs/detect-fakes-comparing-human-machine.pdf	(from https://mattgroh.com/)
20:56:13	1902617/1902617	---M--	200	added ('OK')	image/gif	etag:%22653fd53e-1d0819%22	https://mattgroh.com/images/well_dressed_bear.gif	C:/My%20Web%20Sites/myWebsite/mattgroh.com/images/well_dressed_bear.gif	(from https://mattgroh.com/)
20:56:13	1028884/1028884	---M--	200	added ('OK')	application/pdf	etag:%22653fd53e-fb314%22	https://mattgroh.com/pdfs/computational-empathy.pdf	C:/My%20Web%20Sites/myWebsite/mattgroh.com/pdfs/computational-empathy.pdf	(from https://mattgroh.com/)
20:56:13	74308/74308	---M--	200	added ('OK')	image/png	etag:%22653fd53d-12244%22	https://mattgroh.com/images/heatmap-fitz.png	C:/My%20Web%20Sites/myWebsite/mattgroh.com/images/heatmap-fitz.png	(from https://mattgroh.com/)
20:56:13	1917810/1917810	---M--	200	added ('OK')	application/pdf	etag:%22653fd53e-1d4372%22	https://mattgroh.com/pdfs/towards_transparency.pdf	C:/My%20Web%20Sites/myWebsite/mattgroh.com/pdfs/towards_transparency.pdf	(from https://mattgroh.com/)
20:56:13	26214/26214	---M--	200	added ('OK')	image/jpeg	etag:%22653fd53d-6666%22	https://mattgroh.com/images/gap.jpg	C:/My%20Web%20Sites/myWebsite/mattgroh.com/images/gap.jpg	(from https://mattgroh.com/)
20:56:14	934799/934799	---M--	200	added ('OK')	application/pdf	etag:%22653fd53e-e438f%22	https://mattgroh.com/pdfs/contextshift.pdf	C:/My%20Web%20Sites/myWebsite/mattgroh.com/pdfs/contextshift.pdf	(from https://mattgroh.com/)
20:56:14	447614/447614	---M--	200	added ('OK')	image/png	etag:%22653fd53d-6d47e%22	https://mattgroh.com/images/diffusion_prompt_process.png	C:/My%20Web%20Sites/myWebsite/mattgroh.com/images/diffusion_prompt_process.png	(from https://mattgroh.com/)
20:56:14	154645/154645	---M--	200	added ('OK')	image/png	etag:%22653fd53d-25c15%22	https://mattgroh.com/images/emotion.png	C:/My%20Web%20Sites/myWebsite/mattgroh.com/images/emotion.png	(from https://mattgroh.com/)
20:56:15	116879/116879	---M--	200	added ('OK')	application/pdf	etag:%22653fd53e-1c88f%22	https://mattgroh.com/pdfs/context_automated_affect_recognition.pdf	C:/My%20Web%20Sites/myWebsite/mattgroh.com/pdfs/context_automated_affect_recognition.pdf	(from https://mattgroh.com/)
20:56:15	205761/205761	---M--	200	added ('OK')	image/png	etag:%22653fd53d-323c1%22	https://mattgroh.com/images/fitzpatrick17k.png	C:/My%20Web%20Sites/myWebsite/mattgroh.com/images/fitzpatrick17k.png	(from https://mattgroh.com/)
20:56:15	11954565/11954565	---M--	200	added ('OK')	application/pdf	etag:%22653fd53e-b66985%22	https://mattgroh.com/pdfs/diffusion_models_derm.pdf	C:/My%20Web%20Sites/myWebsite/mattgroh.com/pdfs/diffusion_models_derm.pdf	(from https://mattgroh.com/)
20:56:15	1132095/1132095	---M--	200	added ('OK')	application/pdf	etag:%22653fd53e-11463f%22	https://mattgroh.com/pdfs/dnn-clinical-fitzpatrick.pdf	C:/My%20Web%20Sites/myWebsite/mattgroh.com/pdfs/dnn-clinical-fitzpatrick.pdf	(from https://mattgroh.com/)
20:56:16	2841979/2841979	---M--	200	added ('OK')	image/png	etag:%22653fd53d-2b5d7b%22	https://mattgroh.com/images/deepangel.png	C:/My%20Web%20Sites/myWebsite/mattgroh.com/images/deepangel.png	(from https://mattgroh.com/)
20:56:16	1268448/1268448	---M--	200	added ('OK')	image/png	etag:%22653fd53d-135ae0%22	https://mattgroh.com/images/ganimals.png	C:/My%20Web%20Sites/myWebsite/mattgroh.com/images/ganimals.png	(from https://mattgroh.com/)
20:56:16	6253137/6253137	---M--	200	added ('OK')	application/pdf	etag:%22653fd53e-5f6a51%22	https://mattgroh.com/pdfs/human-detection.pdf	C:/My%20Web%20Sites/myWebsite/mattgroh.com/pdfs/human-detection.pdf	(from https://mattgroh.com/)
20:56:16	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2031%20Oct%202023%2000:56:16%20GMT	https://mattgroh.com/art	C:/My%20Web%20Sites/myWebsite/mattgroh.com/art	(from https://mattgroh.com/bio/)
20:56:17	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2031%20Oct%202023%2000:56:16%20GMT	https://mattgroh.com/technical-notes	C:/My%20Web%20Sites/myWebsite/mattgroh.com/technical-notes	(from https://mattgroh.com/bio/)
20:56:17	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2031%20Oct%202023%2000:56:17%20GMT	https://mattgroh.com/bio	C:/My%20Web%20Sites/myWebsite/mattgroh.com/bio	(from https://mattgroh.com/bio/)
20:56:17	3737/3737	---M-Z	200	added ('OK')	text/html	etag:W/%22653fd53e-e99%22	https://mattgroh.com/technical-notes/	C:/My%20Web%20Sites/myWebsite/mattgroh.com/technical-notes/index.html	(from https://mattgroh.com/bio/)
20:56:17	14134550/14134550	---M--	200	added ('OK')	application/pdf	etag:%22653fd53e-d7ad16%22	https://mattgroh.com/pdfs/ganimals2.pdf	C:/My%20Web%20Sites/myWebsite/mattgroh.com/pdfs/ganimals2.pdf	(from https://mattgroh.com/)
20:56:17	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2031%20Oct%202023%2000:56:17%20GMT	https://mattgroh.com/backcountry-recipes	C:/My%20Web%20Sites/myWebsite/mattgroh.com/backcountry-recipes	(from https://mattgroh.com/bio/)
20:56:18	2952/2952	---M-Z	200	added ('OK')	text/html	etag:W/%22653fd53d-b88%22	https://mattgroh.com/backcountry-recipes/	C:/My%20Web%20Sites/myWebsite/mattgroh.com/backcountry-recipes/index.html	(from https://mattgroh.com/bio/)
20:56:18	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2031%20Oct%202023%2000:56:17%20GMT	https://mattgroh.com/art	C:/My%20Web%20Sites/myWebsite/mattgroh.com/art	(from https://mattgroh.com/videos/)
20:56:18	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2031%20Oct%202023%2000:56:18%20GMT	https://mattgroh.com/bio	C:/My%20Web%20Sites/myWebsite/mattgroh.com/bio	(from https://mattgroh.com/videos/)
20:56:18	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2031%20Oct%202023%2000:56:18%20GMT	https://mattgroh.com/art	C:/My%20Web%20Sites/myWebsite/mattgroh.com/art	(from https://mattgroh.com/podcasts/)
20:56:19	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2031%20Oct%202023%2000:56:18%20GMT	https://mattgroh.com/bio	C:/My%20Web%20Sites/myWebsite/mattgroh.com/bio	(from https://mattgroh.com/podcasts/)
